,address_number_primary,address_dir_primary,address_road_primary,address_sfx_primary,address,loc
24,2600,,CALLE TRES LOMAS,,"2600 CALLE TRES LOMAS, San Diego, CA, USA","Calle Tres Lomas, Paradise Hills, San Diego, San Diego County, California, 92139, United States"
25,0,,DAWNE,ST,"0 DAWNE ST, San Diego, CA, USA","Dawne Street, San Diego, San Diego County, California, 92117, United States"
26,1300,,RIGEL,ST,"1300 RIGEL ST, San Diego, CA, USA","Rigel Street, Mountain View, San Diego, San Diego County, California, 92136, United States"
27,400,,AGUA VISTA,WAY,"400 AGUA VISTA WAY, San Diego, CA, USA","Agua Vista Way, Lincoln Park, Valencia Park, San Diego, San Diego County, California, 92102-4810, United States"
28,700,,O'MEARA,ST,"700 O'MEARA ST, San Diego, CA, USA","Omeara Street, South Encanto, San Diego, San Diego County, California, 92114, United States"
29,10700,,SAN DIEGO MISSION,RD,"10700 SAN DIEGO MISSION RD, San Diego, CA, USA","San Diego Mission Road, Grantville, San Diego, San Diego County, California, 92108-3803, United States"
30,3800,,COTTONWOOD,ST,"3800 COTTONWOOD ST, San Diego, CA, USA","Cottonwood Street, Shelltown, San Diego, San Diego County, California, 92136, United States"
31,3800,,BIRCH,ST,"3800 BIRCH ST, San Diego, CA, USA","Birch Street, Shelltown, San Diego, San Diego County, California, 92136, United States"
32,3200,,05TH,AVE,"3200 05TH AVE, San Diego, CA, USA",
33,0,,K,ST,"0 K ST, San Diego, CA, USA","San Diego, San Diego County, California, United States"
34,0,,05TH,AVE,"0 05TH AVE, San Diego, CA, USA",
35,8000,,HELM,ST,"8000 HELM ST, San Diego, CA, USA","Helm Street, Lemon Grove, San Diego County, California, 91945, United States"
36,0,,05TH,AVE,"0 05TH AVE, San Diego, CA, USA",
37,0,,LOGAN,AVE,"0 LOGAN AVE, San Diego, CA, USA","Logan Avenue, San Diego, San Diego County, California, 92102-4810, United States"
38,2700,,HEALTH CENTER,DR,"2700 HEALTH CENTER DR, San Diego, CA, USA","Health Center Drive, Birdland, Linda Vista, San Diego, San Diego County, California, 92133, United States"
39,300,S,49TH,ST,"300 S 49TH ST, San Diego, CA, USA","49th Street, Webster, San Diego, San Diego County, California, 92102-4810, United States"
40,0,,BALBOA,AVE,"0 BALBOA AVE, San Diego, CA, USA","Balboa Avenue, Kearny Mesa, San Diego, San Diego County, California, 92111-2201, United States"
41,7500,,SKYLINE,DR,"7500 SKYLINE DR, San Diego, CA, USA","Skyline Drive, Lomita, San Diego, San Diego County, California, 91239, United States"
42,500,W,WASHINGTON,ST,"500 W WASHINGTON ST, San Diego, CA, USA","West Washington Street, Five Points, Mission Hills, San Diego, San Diego County, California, 92103, United States"
43,4200,,FELTON,ST,"4200 FELTON ST, San Diego, CA, USA","Felton Street, Stockton, San Diego, San Diego County, California, 92102, United States"
44,11000,,CAMINO ABROJO,,"11000 CAMINO ABROJO, San Diego, CA, USA","Camino Abrojo, San Diego, San Diego County, California, 92127, United States"
45,5400,,CHOLLAS STATION,RD,"5400 CHOLLAS STATION RD, San Diego, CA, USA","Chollas Station Road, Oak Park, San Diego, San Diego County, California, 92105, United States"
46,800,,05TH,AVE,"800 05TH AVE, San Diego, CA, USA",
47,400,,G,ST,"400 G ST, San Diego, CA, USA","San Diego, San Diego County, California, United States"
48,300,,THRUSH,ST,"300 THRUSH ST, San Diego, CA, USA","Thrush Street, South Encanto, San Diego, San Diego County, California, 92114, United States"
49,3000,,ANALIESE,WAY,"3000 ANALIESE WAY, San Diego, CA, USA","Analiese Way, Paradise Hills, San Diego, San Diego County, California, 92139, United States"
50,6700,,DECANTURE,ST,"6700 DECANTURE ST, San Diego, CA, USA","Decanture Street, Navajo, San Carlos, San Diego, San Diego County, California, 92120, United States"
51,300,,47TH,ST,"300 47TH ST, San Diego, CA, USA","47th Street, Chollas View, San Diego, San Diego County, California, 92102-4810, United States"
52,6700,,MEZIN,WAY,"6700 MEZIN WAY, San Diego, CA, USA","Mezin Way, Encanto, San Diego, San Diego County, California, 92114, United States"
53,3800,,TEAK,ST,"3800 TEAK ST, San Diego, CA, USA","Teak Street, Mountain View, San Diego, San Diego County, California, 92113, United States"
54,900,,BLACKWOOD,DR,"900 BLACKWOOD DR, San Diego, CA, USA","Blackwood Drive, Otay Mesa West, San Diego, San Diego County, California, 92154, United States"
55,3700,,37TH,ST,"3700 37TH ST, San Diego, CA, USA","37th Street, East San Diego, Normal Heights, San Diego, San Diego County, California, 92116, United States"
56,3800,,SUPERBA,ST,"3800 SUPERBA ST, San Diego, CA, USA","Superba Street, Mountain View, San Diego, San Diego County, California, 92113, United States"
57,300,,SWEETWOOD,ST,"300 SWEETWOOD ST, San Diego, CA, USA","Sweetwood Street, Encanto, San Diego, San Diego County, California, 92114, United States"
58,800,,GARNET,AVE,"800 GARNET AVE, San Diego, CA, USA","Garnet Avenue, San Diego, San Diego County, California, 92109, United States"
59,17500,,MATINAL,DR,"17500 MATINAL DR, San Diego, CA, USA","Matinal Drive, San Diego, San Diego County, California, 92127, United States"
60,1600,,MARY LOU,ST,"1600 MARY LOU ST, San Diego, CA, USA","Mary Lou Street, Webster, Emerald Hills, San Diego, San Diego County, California, 92102-4810, United States"
61,3500,,SPORTS ARENA,BLV,"3500 SPORTS ARENA BLV, San Diego, CA, USA","Pechanga Arena, 3500, Sports Arena Boulevard, Old Town, San Diego, San Diego County, California, 92110-9998, United States"
62,1100,,FLEETRIDGE,DR,"1100 FLEETRIDGE DR, San Diego, CA, USA","Fleetridge Drive, Fleetridge, Point Loma, San Diego, San Diego County, California, 92107, United States"
63,0,,54TH,ST,"0 54TH ST, San Diego, CA, USA","54th Street, San Diego, San Diego County, California, 92105, United States"
64,2100,,OCEAN VIEW,BLV,"2100 OCEAN VIEW BLV, San Diego, CA, USA","Ocean View Boulevard, Mountain View, San Diego, San Diego County, California, 92113, United States"
65,800,,05TH,AVE,"800 05TH AVE, San Diego, CA, USA",
66,5000,,ST RITA,PL,"5000 ST RITA PL, San Diego, CA, USA","Saint Rita Place, Lincoln Park, Valencia Park, San Diego, San Diego County, California, 92102-4810, United States"
67,11700,,VIA CHONA,,"11700 VIA CHONA, San Diego, CA, USA","Via Chona, San Diego, San Diego County, California, 92128, United States"
68,10900,,POBLADO,RD,"10900 POBLADO RD, San Diego, CA, USA","Poblado Road, San Diego, San Diego County, California, 92127, United States"
69,4000,,PULITZER,PL,"4000 PULITZER PL, San Diego, CA, USA","Pulitzer Place, University City, San Diego, San Diego County, California, 92039, United States"
70,800,,GARNET,AVE,"800 GARNET AVE, San Diego, CA, USA","Garnet Avenue, San Diego, San Diego County, California, 92109, United States"
71,4900,,54TH,ST,"4900 54TH ST, San Diego, CA, USA","54th Street, San Diego, San Diego County, California, 92105, United States"
72,5100,,NARANJA,ST,"5100 NARANJA ST, San Diego, CA, USA","Naranja Street, Lincoln Park, Valencia Park, San Diego, San Diego County, California, 92102-4810, United States"
73,300,,ROSECRANS,ST,"300 ROSECRANS ST, San Diego, CA, USA","Rosecrans Street, Roseville, San Diego, San Diego County, California, 92110, United States"
74,10900,,NORTH TORREY PINES,RD,"10900 NORTH TORREY PINES RD, San Diego, CA, USA","North Torrey Pines Road, Torrey Pines, San Diego, San Diego County, California, 92093-0068, United States"
75,600,,CADMAN,ST,"600 CADMAN ST, San Diego, CA, USA","Cadman Street, Jamacha, San Diego, San Diego County, California, 92114, United States"
76,1400,,GARNET,AVE,"1400 GARNET AVE, San Diego, CA, USA","1400, Garnet Avenue, Pacific Beach, San Diego, San Diego County, California, 92109, United States"
77,200,,ENCINITAS,AVE,"200 ENCINITAS AVE, San Diego, CA, USA","Encinitas Avenue, Lomita, San Diego, San Diego County, California, 91945, United States"
78,0,,MARILOU,RD,"0 MARILOU RD, San Diego, CA, USA","Marilou Road, Emerald Hills, San Diego, San Diego County, California, 92102-4810, United States"
79,800,,PARK,BLV,"800 PARK BLV, San Diego, CA, USA","Park Blvd, San Diego, San Diego County, California, 92101, United States"
80,4800,,EBONY RIDGE,RD,"4800 EBONY RIDGE RD, San Diego, CA, USA","Ebony Ridge Road, Lincoln Park, Valencia Park, San Diego, San Diego County, California, 92102-4810, United States"
81,1900,,AVENIDA DE LA CRUZ,,"1900 AVENIDA DE LA CRUZ, San Diego, CA, USA","Avenida de la Cruz, San Ysidro, San Diego, San Diego County, California, 92173, United States"
82,400,S,WILLIE JAMES JONES,AVE,"400 S WILLIE JAMES JONES AVE, San Diego, CA, USA","South Willie James Jones Avenue, Lincoln Park, Valencia Park, San Diego, San Diego County, California, 92102-4810, United States"
83,700,,05TH,AVE,"700 05TH AVE, San Diego, CA, USA",
84,800,,GIVENS,ST,"800 GIVENS ST, San Diego, CA, USA","Givens Street, San Diego, San Diego County, California, 92154, United States"
85,600,,PORTER,ST,"600 PORTER ST, San Diego, CA, USA","Porter Street, Jamacha, San Diego, San Diego County, California, 92114, United States"
86,1200,,F,ST,"1200 F ST, San Diego, CA, USA","F Street, East Village, San Diego, San Diego County, California, 92101, United States"
87,5200,,ADAMS,AVE,"5200 ADAMS AVE, San Diego, CA, USA","Adams Avenue, Kensington, Normal Heights, San Diego, San Diego County, California, 92116, United States"
88,0,,47TH,ST,"0 47TH ST, San Diego, CA, USA","47th Street, Borner Street, Chollas View, San Diego, San Diego County, California, 92102-4810, United States"
89,200,,06TH,AVE,"200 06TH AVE, San Diego, CA, USA",
90,800,,GARNET,AVE,"800 GARNET AVE, San Diego, CA, USA","Garnet Avenue, San Diego, San Diego County, California, 92109, United States"
91,6200,,MOUNT ACKERMAN,DR,"6200 MOUNT ACKERMAN DR, San Diego, CA, USA","Mount Ackerman Drive, Clairemont, San Diego, San Diego County, California, 92111-2201, United States"
92,700,,GRAND,AVE,"700 GRAND AVE, San Diego, CA, USA","Grand Avenue, Pacific Beach, San Diego, San Diego County, California, 92109, United States"
93,4000,,EVERTS,ST,"4000 EVERTS ST, San Diego, CA, USA","Everts Street, Pacific Beach, La Jolla, San Diego, San Diego County, California, 92109, United States"
94,0,,ANTIGUA,BLV,"0 ANTIGUA BLV, San Diego, CA, USA","Antigua Boulevard, Tierrasanta, San Diego, San Diego County, California, 92124, United States"
95,3900,,MISSION,BLV,"3900 MISSION BLV, San Diego, CA, USA","3900, Mission Boulevard, Mission Beach, San Diego, San Diego County, California, 92109, United States"
96,3600,,46TH,ST,"3600 46TH ST, San Diego, CA, USA","46th Street, Talmadge, City Heights, San Diego, San Diego County, California, 92105, United States"
97,2800,,A,ST,"2800 A ST, San Diego, CA, USA","A Street, Core District, Banker's Hill, San Diego, San Diego County, California, 92101, United States"
98,3500,,AERO,CT,"3500 AERO CT, San Diego, CA, USA","Aero Court, Serra Mesa, San Diego, San Diego County, California, 92133, United States"
99,0,,CLAIREMONT,DR,"0 CLAIREMONT DR, San Diego, CA, USA","Clairemont Drive, Sunset, San Diego, San Diego County, California, 92110, United States"
100,0,,INFO LOG,,"0 INFO LOG, San Diego, CA, USA",
101,4100,,MANZANITA,DR,"4100 MANZANITA DR, San Diego, CA, USA","Manzanita Drive, Fox Canyon, City Heights, San Diego, San Diego County, California, 92105, United States"
102,700,S,32ND,ST,"700 S 32ND ST, San Diego, CA, USA","South 32nd Street, San Diego, San Diego County, California, 92136, United States"
103,700,,05TH,AVE,"700 05TH AVE, San Diego, CA, USA",
104,0,,CAD TROUBLE LOG,,"0 CAD TROUBLE LOG, San Diego, CA, USA",
105,3100,,ADMIRAL,AVE,"3100 ADMIRAL AVE, San Diego, CA, USA","Admiral Avenue, Serra Mesa, San Diego, San Diego County, California, 92123, United States"
106,0,,I-5,,"0 I-5, San Diego, CA, USA","San Diego, San Diego County, California, United States"
107,1700,,NATIONAL,AVE,"1700 NATIONAL AVE, San Diego, CA, USA","National Avenue, South Crest, San Diego, San Diego County, California, 92113, United States"
108,6100,,SKYLINE,DR,"6100 SKYLINE DR, San Diego, CA, USA","Skyline Drive, Lomita, San Diego, San Diego County, California, 91239, United States"
109,200,,16TH,ST,"200 16TH ST, San Diego, CA, USA","16th Street, Sherman Heights, San Diego, San Diego County, California, 92101, United States"
110,0,,SHOPS INFO LOG,,"0 SHOPS INFO LOG, San Diego, CA, USA",
111,0,,CHP INFO LOG,,"0 CHP INFO LOG, San Diego, CA, USA",
112,4700,,EL CAJON,BLV,"4700 EL CAJON BLV, San Diego, CA, USA","4700, El Cajon Boulevard, Talmadge, Colina Park, San Diego, San Diego County, California, 92115, United States"
113,0,,E,ST,"0 E ST, San Diego, CA, USA","San Diego, San Diego County, California, United States"
114,5400,,BALBOA ARMS,DR,"5400 BALBOA ARMS DR, San Diego, CA, USA","Balboa Arms Drive, Clairemont, San Diego, San Diego County, California, 92111-2201, United States"
115,2900,,DORIA,WAY,"2900 DORIA WAY, San Diego, CA, USA","Doria Way, Paradise Hills, San Diego, San Diego County, California, 92139, United States"
116,0,,EMERALD,ST,"0 EMERALD ST, San Diego, CA, USA","Emerald Street, Pacific Beach, San Diego, San Diego County, California, 92109, United States"
117,800,,05TH,AVE,"800 05TH AVE, San Diego, CA, USA",
118,100,W,WASHINGTON,ST,"100 W WASHINGTON ST, San Diego, CA, USA","West Washington Street, Five Points, Mission Hills, San Diego, San Diego County, California, 92103, United States"
119,4600,,IOWA,ST,"4600 IOWA ST, San Diego, CA, USA","Iowa Street, North Park, San Diego, San Diego County, California, 92104, United States"
120,2600,,CORONADO (SB),AVE,"2600 CORONADO (SB) AVE, San Diego, CA, USA",
121,0,,FLANDERS,DR,"0 FLANDERS DR, San Diego, CA, USA","Flanders Drive, Sorrento Valley, San Diego, San Diego County, California, 92121, United States"
122,3500,,CASTLE GLEN,DR,"3500 CASTLE GLEN DR, San Diego, CA, USA","Castle Glen Drive, Serra Mesa, San Diego, San Diego County, California, 92123, United States"
123,2000,,OCEAN VIEW,BLV,"2000 OCEAN VIEW BLV, San Diego, CA, USA","Ocean View Boulevard, Mountain View, San Diego, San Diego County, California, 92113, United States"
124,0,,TEXAS,ST,"0 TEXAS ST, San Diego, CA, USA","Texas Street, University Heights, North Park, San Diego, San Diego County, California, 92103-3609, United States"
125,3200,,SOLDAU,DR,"3200 SOLDAU DR, San Diego, CA, USA","Soldau Drive, San Diego, San Diego County, California, 92154, United States"
126,3200,,ASHFORD,ST,"3200 ASHFORD ST, San Diego, CA, USA","Ashford Street, Linda Vista, San Diego, San Diego County, California, 92133, United States"
127,4600,,CLAIREMONT MESA,BLV,"4600 CLAIREMONT MESA BLV, San Diego, CA, USA","Clairemont Mesa Boulevard, San Diego, San Diego County, California, 92124, United States"
128,4300,,HOME,AVE,"4300 HOME AVE, San Diego, CA, USA","Home Avenue, Islenair, San Diego, San Diego County, California, 92105, United States"
129,700,,GRAND,AVE,"700 GRAND AVE, San Diego, CA, USA","Grand Avenue, Pacific Beach, San Diego, San Diego County, California, 92109, United States"
130,800,,GARNET,AVE,"800 GARNET AVE, San Diego, CA, USA","Garnet Avenue, San Diego, San Diego County, California, 92109, United States"
131,2400,,CARDINAL,DR,"2400 CARDINAL DR, San Diego, CA, USA","Cardinal Drive, Birdland, Linda Vista, San Diego, San Diego County, California, 92133, United States"
132,200,,47TH,ST,"200 47TH ST, San Diego, CA, USA","47th Street, Chollas View, San Diego, San Diego County, California, 92102-4810, United States"
133,5000,,FEDERAL,BLV,"5000 FEDERAL BLV, San Diego, CA, USA","Federal Boulevard, San Diego, San Diego County, California, 92114, United States"
134,4900,,54TH,ST,"4900 54TH ST, San Diego, CA, USA","54th Street, San Diego, San Diego County, California, 92105, United States"
135,1000,,UNIVERSITY,AVE,"1000 UNIVERSITY AVE, San Diego, CA, USA","University Avenue, Cherokee Point, Normal Heights, San Diego, San Diego County, California, 92104, United States"
136,0,,05TH,AVE,"0 05TH AVE, San Diego, CA, USA",
137,3100,,MIDWAY,DR,"3100 MIDWAY DR, San Diego, CA, USA","Midway Drive, Loma Portal, Old Town, San Diego, San Diego County, California, 92110-9998, United States"
138,2900,,MISSION,BLV,"2900 MISSION BLV, San Diego, CA, USA","Mission Boulevard, San Diego, San Diego County, California, 92109, United States"
139,200,,05TH,AVE,"200 05TH AVE, San Diego, CA, USA",
140,3500,,WILSHIRE,TER,"3500 WILSHIRE TER, San Diego, CA, USA","Wilshire Terrace, North Park, San Diego, San Diego County, California, 92103-3607, United States"
141,3200,,ANNRAE,ST,"3200 ANNRAE ST, San Diego, CA, USA","Annrae Street, Serra Mesa, San Diego, San Diego County, California, 92133, United States"
142,0,,08TH,AVE,"0 08TH AVE, San Diego, CA, USA",
143,400,,13TH,ST,"400 13TH ST, San Diego, CA, USA","13th Street, Core District, Banker's Hill, San Diego, San Diego County, California, 92101, United States"
144,600,,E,ST,"600 E ST, San Diego, CA, USA","San Diego, San Diego County, California, United States"
145,3100,,MISSION,BLV,"3100 MISSION BLV, San Diego, CA, USA","Mission Boulevard, San Diego, San Diego County, California, 92109, United States"
146,11900,,CARMEL CREEK,RD,"11900 CARMEL CREEK RD, San Diego, CA, USA","Carmel Creek Road, Carmel Valley, San Diego, San Diego County, California, 92130, United States"
147,1000,,NORTH HARBOR,DR,"1000 NORTH HARBOR DR, San Diego, CA, USA","North Harbor Drive, San Diego, San Diego County, California, 92101-3414, United States"
148,4100,,44TH,ST,"4100 44TH ST, San Diego, CA, USA","44th Street, Ridgeview, San Diego, San Diego County, California, 92105, United States"
149,500,,ISLAND,AVE,"500 ISLAND AVE, San Diego, CA, USA","Island Avenue, East Village, San Diego, San Diego County, California, 92101, United States"
150,6900,,LA JOLLA,BLV,"6900 LA JOLLA BLV, San Diego, CA, USA","La Jolla Boulevard, La Jolla, San Diego, San Diego County, California, 92037-4291, United States"
151,800,,GARNET,AVE,"800 GARNET AVE, San Diego, CA, USA","Garnet Avenue, San Diego, San Diego County, California, 92109, United States"
152,8800,,CAPRICORN,WAY,"8800 CAPRICORN WAY, San Diego, CA, USA","Capricorn Way, Mira Mesa, San Diego, San Diego County, California, 92126, United States"
153,0,,VOLCANO RABBIT,,"0 VOLCANO RABBIT, San Diego, CA, USA",
154,3700,,RIVIERA,DR,"3700 RIVIERA DR, San Diego, CA, USA","Riviera Drive, Crown Point, San Diego, San Diego County, California, 921009, United States"
155,200,,HENSLEY,ST,"200 HENSLEY ST, San Diego, CA, USA","Hensley Street, Grant Hill, San Diego, San Diego County, California, 92102, United States"
156,300,W,SAN YSIDRO,BLV,"300 W SAN YSIDRO BLV, San Diego, CA, USA","West San Ysidro Boulevard, Park Haven, San Ysidro, San Diego, San Diego County, California, 92173, United States"
157,4500,,CASS,ST,"4500 CASS ST, San Diego, CA, USA","Cass Street, Pacific Beach, La Jolla, San Diego, San Diego County, California, 92109, United States"
158,4500,,CASS,ST,"4500 CASS ST, San Diego, CA, USA","Cass Street, Pacific Beach, La Jolla, San Diego, San Diego County, California, 92109, United States"
159,4600,,FELTON,ST,"4600 FELTON ST, San Diego, CA, USA","Felton Street, Stockton, San Diego, San Diego County, California, 92102, United States"
160,8000,,HUMMINGBIRD,LN,"8000 HUMMINGBIRD LN, San Diego, CA, USA","Hummingbird Lane, Birdland, Linda Vista, San Diego, San Diego County, California, 92133, United States"
161,200,,HIGHLAND,AVE,"200 HIGHLAND AVE, San Diego, CA, USA","200, Highland Avenue, National City, San Diego County, California, 91950, United States"
162,800,,05TH,AVE,"800 05TH AVE, San Diego, CA, USA",
163,3500,,MACAULAY,ST,"3500 MACAULAY ST, San Diego, CA, USA","Macaulay Street, Fleetridge, Point Loma, San Diego, San Diego County, California, 92106, United States"
164,500,,05TH,AVE,"500 05TH AVE, San Diego, CA, USA",
165,0,,FELSPAR,ST,"0 FELSPAR ST, San Diego, CA, USA","Felspar Street, Pacific Beach, San Diego, San Diego County, California, 92109, United States"
166,600,,BROADWAY,,"600 BROADWAY, San Diego, CA, USA","600, Broadway, Chula Vista, San Diego County, California, 91910, United States"
167,300,,LOS ANGELES,PL,"300 LOS ANGELES PL, San Diego, CA, USA","Los Angeles Place, Valencia Park, San Diego, San Diego County, California, 92102-4810, United States"
168,700,,PEGGY,DR,"700 PEGGY DR, San Diego, CA, USA","Peggy Drive, Jamacha, San Diego, San Diego County, California, 92114, United States"
169,200,,05TH,AVE,"200 05TH AVE, San Diego, CA, USA",
170,10000,,MESA RIM,RD,"10000 MESA RIM RD, San Diego, CA, USA","Mesa Rim Road, Sorrento Valley, San Diego, San Diego County, California, 92121, United States"
171,3200,,ANNRAE,ST,"3200 ANNRAE ST, San Diego, CA, USA","Annrae Street, Serra Mesa, San Diego, San Diego County, California, 92133, United States"
172,500,,ISLAND,AVE,"500 ISLAND AVE, San Diego, CA, USA","Island Avenue, East Village, San Diego, San Diego County, California, 92101, United States"
173,8100,,WESTMORE,RD,"8100 WESTMORE RD, San Diego, CA, USA","Westmore Road, Mira Mesa, San Diego, San Diego County, California, 92126, United States"
174,800,,GWEN,ST,"800 GWEN ST, San Diego, CA, USA","Gwen Street, San Diego, San Diego County, California, 92102-4810, United States"
175,7900,,FROST,ST,"7900 FROST ST, San Diego, CA, USA","Frost Street, Serra Mesa, San Diego, San Diego County, California, 92133, United States"
176,400,W,BEECH,ST,"400 W BEECH ST, San Diego, CA, USA","West Beech Street, Little Italy, Banker's Hill, San Diego, San Diego County, California, 92101-3414, United States"
177,10100,,PASEO MONTRIL,,"10100 PASEO MONTRIL, San Diego, CA, USA","Paseo Montril, Rancho Peñasquitos, San Diego, San Diego County, California, 92129-2935, United States"
178,3700,,TENNYSON,ST,"3700 TENNYSON ST, San Diego, CA, USA","Tennyson Street, Ocean Beach, San Diego, San Diego County, California, 92107, United States"
179,700,,GRAND,AVE,"700 GRAND AVE, San Diego, CA, USA","Grand Avenue, Pacific Beach, San Diego, San Diego County, California, 92109, United States"
180,0,,05TH,AVE,"0 05TH AVE, San Diego, CA, USA",
181,500,,06TH,AVE,"500 06TH AVE, San Diego, CA, USA",
182,4100,,BROADWAY,,"4100 BROADWAY, San Diego, CA, USA","Broadway, Golden Hill, San Diego, San Diego County, California, 92102, United States"
183,16700,,DIEGO,DR,"16700 DIEGO DR, San Diego, CA, USA","Diego Drive, Rancho Bernardo, San Diego, San Diego County, California, 92128, United States"
184,3200,,J,ST,"3200 J ST, San Diego, CA, USA","J Street, East Village, San Diego, San Diego County, California, 92101, United States"
185,0,,ALTA VISTA,ST,"0 ALTA VISTA ST, San Diego, CA, USA","Alta Vista Street, La Jolla, San Diego, San Diego County, California, 92109, United States"
186,3100,,MOUNT MIGUEL,DR,"3100 MOUNT MIGUEL DR, San Diego, CA, USA","Mount Miguel Drive, Paradise Hills, San Diego, San Diego County, California, 92139, United States"
187,3300,,ADAMS,AVE,"3300 ADAMS AVE, San Diego, CA, USA","Adams Avenue, Kensington, Normal Heights, San Diego, San Diego County, California, 92116, United States"
188,6800,,PANAMINT,ROW,"6800 PANAMINT ROW, San Diego, CA, USA","Panamint Row, South Bay Terraces, San Diego, San Diego County, California, 92139, United States"
189,5800,,BALMORAL,DR,"5800 BALMORAL DR, San Diego, CA, USA","Balmoral Drive, San Diego, San Diego County, California, 92114, United States"
190,400,W,B,ST,"400 W B ST, San Diego, CA, USA","West B Street, Columbia, Banker's Hill, San Diego, San Diego County, California, 92101-3414, United States"
191,4100,,LOUISIANA,ST,"4100 LOUISIANA ST, San Diego, CA, USA","Louisiana Street, University Heights, North Park, San Diego, San Diego County, California, 92103-3609, United States"
192,700,,GRAND,AVE,"700 GRAND AVE, San Diego, CA, USA","Grand Avenue, Pacific Beach, San Diego, San Diego County, California, 92109, United States"
193,3600,,WITHERBY,ST,"3600 WITHERBY ST, San Diego, CA, USA","Witherby Street, Old Town, San Diego, San Diego County, California, 92110, United States"
194,300,,THRUSH,ST,"300 THRUSH ST, San Diego, CA, USA","Thrush Street, South Encanto, San Diego, San Diego County, California, 92114, United States"
195,4100,,CAMINO DE LA PLAZA,,"4100 CAMINO DE LA PLAZA, San Diego, CA, USA","Camino de la Plaza, San Ysidro, San Diego, San Diego County, California, 92173, United States"
196,3400,,42ND,ST,"3400 42ND ST, San Diego, CA, USA","42nd Street, Mount Hope, San Diego, San Diego County, California, 92102-4810, United States"
