rating,reviews
5,"I love this place so much, people are so friendly from the host to the servers and they are strictly enforcing wearing masks and social distancing.  I also..."
5,Went here during quarantine for a date with my gf and this place is very pretty! The pond is huge and it has a water fountain that shoots a large stream of...
5,"Surprisingly best date ever. Sugarfish takeout picnic, nigori sake, a guy doing the robot gangnam style, super random tshirts for sale, a dude with a guitar..."
5,"Let me TELL YOU SOMETHING!!!   OMG! I really can't speak!  Its so delicious.
This is that place that I've saved for special occasions   and when I want to..."
5,Havnt been here in months because of COVID. I miss it so much that I have to leave a review from all the memories I've had there. Saw some of my favorite...
5,"There's not much of a slope to the floor, so if you're not in the front row and it's a packed screening (which is usually the case), you're going to have an..."
5,"Always a 5-star experience! If you're a Quentin Tarantino fan, this is his theater and he's personally involved in the screening selections and theater..."
5,"We felt completely safe walking our dog on a Sunday morning. It is very clean, the trail loop is well-groomed and maintained, and nobody is living here...."
5,"I came here for the first time in August 2020, just a few months after earning my MBA. It might just be just a few pieces of paper (including honors..."
5,I enjoyed my first visit to this park today. They have a small parking lot and plenty of nearby street parking. This park is very spacious and green. Lots...
5,"Awesome experience! Definite must for all that live in LA or have kids that are visiting!

Environment: the California Science Center. I think there is a..."
4,Amazing museum! Souvenirs were affordable and the place is maintained clean and good. Very informative exhibits with real time experience. It was a good...
5,"This was the second time I saw the space shuttle Endeavour at the California Science Center and it was as amazing as the first time I saw it.

Added to the..."
5,An excellent theater nestled in DTLA right across the street from the Walt Disney concert hall.  Parking is surprisingly reasonable at $9 all day on...
3,"Recently visited for the first time to catch a showing of The Book of Mormon. 

Love that parking is right underground and that the escalators up take you..."
5,"I have seen a PLETHORA of shows at the Ahmanson, and it could very well be my favorite theatre venue! It's classy, it's beautiful, it's an experience. 

I..."
5,The only other museum I could think tops JANM in regards to Japanese Nikkei history might just be the Japanese Overseas Migration Museum in Yokohama....
5,We were doing the tourist walking tour of the shops (and food venues) in Little Tokyo and decided to stop in for some culture. The museum is well curated...
5,"Stopped by JANM today because it just so happened to be free SoCal Museums Day!

I came to JANM with my grandparents growing up, however it wasn't until..."
5,Happy they  are back open.  Fun place and food is great too. I recommend this restaurant
5,"The food was amazing I had Alpert and it melted in your mouth, wine...I tried Family Frank it was quality and dessert I had Black Forest cake...OMG!! Love..."
5,"Anybody missing ambiance and live music??  WAIT NO LONGER...Vibrato is REOPENED!!! Beautiful newly built outdoor patio ...the ""Garden of Eden"" serving up..."
5,"I've been wanting to come to the castle for 10+ years! I've been a huge fan of magic since I was a kid, anyone remember the Masked Magician? lol

It's..."
4,"Magic Castle is located on Franklin Ave, begins Hollywood & Highland shopping and entertainment center. It's a private club for magicians and magic lovers...."
5,"this was my favorite place to visit by far other than Disneyland, I always wanted to go to the magic castle since I was 6 years old watching magic videos..."
5,"Look for the parking lot ahead of time- you'll get lost lol.

Saw beauty and the beast- amazing performance by everyone! The intimacy of how close it is to..."
3,"The theatre is quite small. If you purchase the tickets online, you have the option to choose VIP seats. This comes with free drink, non-alcohol beverage..."
5,Dedicating my 1100th Review to The Cupcake Theater (located right next to Tamashii Ramen House in the NoHo Arts District - Republic of Pie is just a block...
5,"DO THIS!

If this was the teenage version of me doing this drive-in, I'd have had 4 people hidden in the trunk of my '62 Chevy Impala while we skirted the..."
5,I miss this. Comfy lawn chairs on DTLA rooftop. Has a bar. Popcorn. It feels extra homey and comfy even though you're up there with a ton of strangers. It's...
5,Came here on a busy Tuesday night to watch Breakfast at Tiffany's (for the first time - and as Monica would say... IIIII KNOW! I should've watched it by...
5,What a fun way to spend an evening in DTLA! The participating artists in this series of concerts cover so many genres -- there is sure to be something for...
5,"Every summer, they have a series of live performance. The best part is.... they are all FREE!!!! You don't need any reservation and show up early to get..."
5,"What a great performance space! I have been here for two events and I think downtown is lucky to have it. It's wide-open for dancing and mingling, but..."
5,"Always clean. 
Little crowd. 

Great quality and customer service every time. 

Also love their community involvement!

Curbside pickup via the Joe app is great"
5,"Saturday morning travels took us to South LA Cafe.  

We were greeted by Mrs. Ward-Wallace.  She let us know it was going to be a few minutes before our..."
5,"This is the place to be, my friends! Celia + Joe (co-founders of the cafe) have created such a home-feel environment. They created a home disguised as a..."
5,"Best bar ever! Miss this place. Mark is such a great bartender, his cocktails are next level. Looking forward to coming back in 2021."
5,"My review of the Dresden is way overdue.

THE AMBIANCE:

We always go at nighttime and are regulars at this point. The Dresden is my fiance's favorite bar...."
2,"Came for dinner unfortunately not too impressed.. the seats were nice all white and gold but the interior was a bit confusing, fake orchids, very dark, dark..."
5,"This park is huge and such a good find! There is hiking and walking trails, playgrounds (closed for covid at the moment), a beautiful water area and more! I..."
5,This park has been the best escape from our studio apartment during the quarantine. There is plenty of space to social distance while still enjoying the...
5,Kenneth Hahn recreation area is a good spot to go during this coronavirus time when social distancing is in effect. There's plenty of spots where you can...
5,"I just completed a second Level 1 class with Improv LA, after taking a few years off since round one.  This time was a little different...due to Covid-19,..."
5,"I attended Level 1 classes online and as someone who has no experience with Improv, it turned out to be a great exposure. 
Keith made the class fun and..."
5,I want to recommend this class to anyone who is looking to try to learn anything new or just pass the time. Keith's level 1 improv class was an absolute...
5,"The grand park in DTLA is well worth  to visit.  You can easily sopt people during lunch hours and during weekends

The fountains here are very beautiful..."
4,"Grand/Hope Park is an oasis in the middle of Downtown. It is, as Mary Poppins says, practically perfect in every way.

It takes up almost an entire block..."
2,Grand Park is divided into three sections. The top two halves north of Broadway are fine but the last section below Broadway is roped off and filled with...
5,"No entry fee ! Good weekend hangout place for children. They have good collection of steam / diesel / electric locomotives, cabooses, freight cars and..."
5,"I love this place!

I have a lot of anxiety and I really can't stand traveling. 

Here's why -

1) Just the thought of packing luggage freaks me out. Why..."
4,Well... This was our first visit to Travel Town... The aging trains were getting dusted down by volunteers and the trains were seriously old... Drifting...
5,"I love shopping at the Open Eye.  The owner, Madison, is fun, kind and loves to share her crystal knowledge to her expanding IG crystal..."
5,They are the absolute best ever!!! Helping me through Covid quarantine and my spiritual journey!!!! I am so grateful for this business!! If you can't check...
5,Live Crystal QVC is such a great time! Madison is magical and has such great energy that it feels more like a party than anything else! She is very...
5,"Employees are always nice. 
Restrooms are clean. 
High quality food and drink (popcorn, coffee, tea)
Lots parking space (don't forget the validation)
You..."
5,I CAN'T BELIEVE I HAVEN'T WRITTEN A REVIEW FOR CGV!!!! This is my favorite movie theatre for several reasons. It is a smaller theatre in Madang plaza though...
4,Came here recently with my wife on a date night and decided to watch Malificent on 3 separate screens which was really new to me. We had no choice but to...
5,Lake Hollywood Park is located in a quiet neighborhood with free street parking. But plenty of tourists and locals do come to this park and so parking may...
4,"I think you should make it a dog park because there were a lot of people out with their dogs.  It's a small park, with a fenced playground structure (that..."
5,"The park itself is a wonderful little spot in the Hollywood Hills with great views of the signs. Yes, there will be Instagrammers here doing crazy things..."
5,"(Christine, your attacks on Jusstine for her prices are inappropriate. I get we all need affordability BUT we also have choices. Her gift is so accurate and..."
5,"This review is for Jusstine's Heal Your Relationship Space download. At first, I thought it was too simple (my ego), but I continued to do the mediation..."
5,"I hired Jusstine to do readings at my birthday party! She was the highlight of
My party and everyone was in shock over her accuracy.
They were so impressed..."
5,"I knew about this place during COVID so I don't know how it was before, but now they have a great outside setting being very careful with social..."
5,This bar is the perfect SAFE getaway for those folks hunkered down that wish they could just go out for food and drinks. The menu is ridiculous! Yummy...
5,I love this place. It's so relaxing at night and for sunset. Every night the wonderful staff is kind enough to set up a little skidrokyo oasis in the...
5,Such an amazing place for a team event. Spent time here for a team building event several months back and the staff was so accommodating and easy to work...
5,"One of a kind experience
Highly recommended it for groups
Ladies Don't go with a full face of make up since your going to be wearing heavy duty virtual..."
5,Updating my review as I recently was invited back to try their hardest level. All i can say is WOW. It was amazing and my team had so much fun!! It is way...
5,I find this place such a pleasant and wonderful surprise during these difficult times now that vinyl is making a come back if all you got is $10 in your...
5,"I am using my wife's Yelp account to write this well-deserved glowing review of The Record Parlour, a record store that I am proud to call my ""local"" even..."
5,"I can not rave about The Record Parlour enough. It was suggested I check out their live IG show by a fellow vinyl junkie, thus my infatuation with the store..."
5,AN ABSOLUTELY MUST DO! SOME COOL FREE STUFF! I know people are going Stir Crazy being cooped up inside. I've got some Great News especially for Kids! The...
5,This is such a special place. We are so thankful for everyone who made it possible for their legacy to continue in the troupe's new home in Highland...
5,"We snagged some tickets to the soft opening at their new home and it was a great. From the children sitting criss cross apple sauce in the front, to all..."
5,"I love this place! It has great beer and has a wide open space perfect for staying socially distant. The burgers from Chef Sharkies up in smoke is a must,..."
4,"I think the things that make this place pretty great are the layout and the friendliness/skill of the bartenders. 

The layout is nice because you go from..."
5,The outside area is open and serving food and drinks now! I just moved to the neighborhood and was so happy to discover this spot. Can't wait till it's...
5,"The best $40 spent in LA!
I couldn't believe how perfect this whole experience was. Went with three family memorial celebrate my birthday. The decor details..."
5,"This place open until midnight tuesday-sat
open at 6pm - 12am 

online order through postmate or call them directly.
I preferred call them and pick it..."
5,I was heading to the deliciously beautiful Beauty & Essex for dinner down an alley. Stopped at No Vacancy for a drink but couldn't get in and walked to the...
5,Recently got another nose piercing after getting my first one here a while ago. The guys are always really friendly and helpful about getting you what you...
5,Came here on a whim during my lunch break while serving Jury Duty. Been wanting to get a cartilage piercing for a while now but was scared off with a...
5,"Love my tattoo, Ray did a great job..... a true artist 
The parking Is convenient (across the street).This place is clean and all the staff are very..."
5,"I've been here for a few shows and this is my favorite of the art deco theaters on Broadway, beautiful inside the building and the sound is always..."
1,Obviously there are no events going on at this time. I've been trying to receive a refund for tickets to a show that was supposed to take place 5 months...
4,"This has been sitting in draft, so I figured I'd finish the review.  I came here to see a PBS taping of a David Foster performance that will air sometime in..."
5,My favorite jazz venue in all of LA! The Blue Whale has always been on my eye while living in NYC for its eclectic & adventurous shows all-year round. Now...
4,"This is more a memory than a review, having been here once back in 2014 to see the great jazz pianist Hal Galper. Wouldn't have missed that for anything...."
5,"It's great to have a venue that plays live jazz right in the heart of DTLA. The place is located on the 3rd floor in a little plaza in the NE corner. 
It..."
5,"Well YES of course the Groundlings are amazing and groundbreaking and talented and funny......BUT, I would like to give a woot woot and a big 5 stars to the..."
1,This review pertains to my experience a few years ago while taking Sean Hogan's class. I refrained from voicing my opinion at the time yet my strong dislike...
5,"This review is for the Late Show on Friday nights at 10pm. I've been to plenty of Improv/ Sketch shows, but this one topped them all. 

It reminded me of an..."
5,"The Rainbow is handling covid very well.

Social distancing is enforced, lots of seating is available outside and the service was fantastic.

I can't..."
5,"They are all still here for all of your rock 'n'roll needs.  I ordered take out, but it allowed me to check on the entire neighborhood.  Let's be honest...."
5,"I really miss my NY Steak. I hope this Covid thing ends soon. 

I really enjoy ordering the Steak Sandwich."
5,What a fun place to hang out! I really enjoyed everything here. The view was great. The service was amazing. The food was amazing.
3,Came here a few weeks ago and to be honest it was just ok. First of all it was confusing on how to get here and where to park and once you park where o walk...
4,Restaurants in hotels rarely close and this one is no exception-- they were open on thanksgiving and we went for dinner. It's a $65 three course meal. I...
4,"Such a good time! 

My friend and I got here around 1pm. There was definitely a bit of people. There were parts we couldn't stay long enough because it got..."
4,"While we did have a okay time, I wish they would set up some sort of system where only a certain amount of people would be allowed in at a time. Not only..."
4,Went here with my boyfriend and had a good time! Only complaints was we purchased tickets ahead of time for a specific time of day and they still let other...
5,Walk my dog by this place a bunch of times and decided to check it out last night. They have a good amount of tables outside and 2 TVs set up. We shared the...
4,"I've been to Links N Hops a couple times and I've always had a good time. Whether I come in a large group or just a few friends, we always find somewhere to..."
5,"Good beer, fair prices, awesome service 

The beers are pretty big during happy hour!"
5,Working with the White Rose team has been such a blessing & the best decision we ever made for our wedding. Their work is TRULY unique and not like the...
5,What a dream it was working with White Rose! I've never received sooooo many compliments on our dreamy wedding teaser and videoI cried the first time they...
5,I reached out to Jan and Alex less than 2 months prior to our wedding. Jan was very accommodating and luckily they were still available to work my wedding....
5,"Hey, you're in luck now!  MOCA just received a major multimillion dollar donation so admission is now free to the masses. Yes, finally, admission is free to..."
5,"Wow, it is hard to believe that I've never written a review about this art museum. I have literally been coming here since it opened many-many years ago...."
5,"*Closed on Tuesdays. Free every Thursday from 5pm to 8pm.

Modern art has really grown on me in the past few years, especially thought-provoking mixed media..."
5,"As one of the main attractions of Griffith Park, the Observatory is as fascinating a destination as it is touristy. It is one of LA's most popular..."
5,"I came here on a Sunday afternoon during COVID. Sadly, the observatory is closed due to COVID, but you can still enjoy amazing 360 degree views of LA and of..."
5,"*Pre-COVID Review*
Pros: Free admission, great view of LA, fun introductory-level science information, and a few nice hiking trails nearby
Cons: The parking..."
5,"A wonderful museum, with lots of great art. I have been going to MOCA ever since they opened, and always amazed with the installations of artists. My all..."
5,"We came on a Thursday afternoon when admission was free. It's the 40th anniversary, so all of the pieces on exhibit are part of their permanent collection...."
5,"Located conveniently across the street from the Broad, this museum is a bit smaller but with a lot more abstract contemporary art. I was able to take..."
5,"this was a super fun night! the group of performers covered the gamut from musicians, comedians, acrobats, magicians, and ... genre-defying..."
5,Absolutely my favorite show in Los Angeles! I remember I watched this variety show this a few years ago back when it was in a makeshift warehouse in Echo...
5,Mere words cannot describe this adventure.  OMG if I lived in Hollywood I am pretty sure most Wednesday nights you would find me here.  Just go.  Enjoy the...
5,"The Hammer Museum has a wonderful collection of art. 
Rembrandt is here as are many other greats. 
The Hammer is free and well worth the time. 
In fact,..."
4,"Located right in the heart of Westwood, this museum is free!  And I always enjoy coming here.  I usually check in at the front desk, where they hand you a..."
5,I loved it. I was not expecting what I got from this free museum. Getting there wasn't too bad and neither was parking. I thoroughly enjoyed the broad...
5,"Incredibly clean and very friendly staff! It's a relatively small but intimate and cozy outdoor theatres with the capacity of 1500, I think. You can get a..."
5,"It's everything you wish the Hollywood Bowl was.
Small....Intimate....Clean.....Short Walks....

Sound and lighting were perfect.
All employees were..."
4,"Came here for a yelp elite event ""Uprising: An Afro-Jazz Ensemble""

The venue itself was beautiful. I was really impressed by the lighting and the back drop..."
5,I really love this barbershop. I can't believe I used to go to Supercuts for years. There is absolutely a difference between a $60 and a $20...
5,"After months of searching for a great barbershop for my boyfriend, I finally came across Saints and I'm so happy I did! My boyfriend was in need of a hair..."
5,"my husband doesn't use yelp, and was in desperate need of a haircut and beard trim, so I took it upon myself to reach out to barbers in the area who could..."
5,"This Rose Garden is a little LA treasure. I discovered it many years ago while going to the California Science Center.

It is pretty big, with many types of..."
5,"Today is a  perfect morning to visit the Rose Garden.  Possibly due to Covid, there are very few people here. It's about four months away from Roses season..."
5,"Lovely public garden right next to USC. Conveniently located off a metro stop, the Rose Garden is a nice place to have a picnic or take cute photos..."
5,"Went back for more and brought the youngling.  He loved it!  Saw Twelfth Night earlier this month for Family Night and it was great. Last time we went, I..."
5,Love this company. I have been going for two years now. I saw Mid Summer Night's Dream and Twelfth Night. Both groups were very talented and they do an...
5,"Seeing a play in Griffith Park is summer in its purest essence. This company, run by a wife and husband team, is celebrating its 15 year anniversary. If you..."
5,What an amazing place!!! I felt the energy when I walked in the door! Mumtaj was very knowledgeable and especially helpful! It was nice to be free to browse...
4,I just had a reading with LILI and she was amazing and honest. I feel a lot better about choices I have to make. I also had a reading with Francesca in 2011...
5,"I learned about this shop during a late night Los Feliz stroll with a friend and I've been drawn in ever since. It's is a wonderful space, not only for all..."
5,Wow loved this place. Remember when we could go out to dance?! My friends and I stumbled in here after a premiere at Paramount and we happened to come on a...
5,"I came here for a promotional product launch one night, and the place was unexpectedly really cute and suited for ! The inside was majestic, the curated..."
4,"Came here for a private party celebration, love the Hollywood vibe and atmosphere. It's small inside with some tables and sofas set up so has a cool, dive..."
5,Lovely experience and friendly staff! Festive atmosphere :)
5,"FIVE STARS! So many stars! This is probably my new favorite event and I can't wait to come again. 

The concept of a movie on a rooftop alone is a cute &..."
5,"What a great experience we had!! I went with some friends and family this past Friday to see The Holiday (which I had never seen... I know, I know). I am a..."
5,"Yays:  Free event, fun to walk through different exhibits on the strip to check out random artwork, food trucks, great way to experience downtown LA night..."
5,"I can't find right place in here, I think only some stores and places we can do, btw I really love all art on downtown LA, but this is great, amazing, and..."
5,The LA Art Walk is wonderful.  la-arts-district.com  provides another free resource for folks that want to discover more about the art in the nearby LA Arts...
5,"One of my quarantine home improvement projects has been to try to make a dent in my ever-growing pile of artwork labeled ""to be framed."" I'm an avid..."
5,This is a long overdue review! I am a complete art hoarder. Ballard's helped me frame one of my centerpiece above the mantle art prints way back in the...
5,Such an accommodating and wonderful business. Been frequenting them for years for any framing needs and they always deliver.  Thank u!!!
5,"This market rocks. Well curated, comfy, family-friendly, central--I could go on and on. Yes, you have to buy a ticket to come in and shop ($13ish ahead of..."
2,"I was super excited to attend Unique LA's spring market and honestly I am super disappointed.

On Eventbrite where I purchased my ticket( yes you have to..."
2,"Been going for years, and sadly I think this year will be the last time.
The location has changed, which may not be their fault, but the new space is not..."
5,"An educational holocaust museum whose uniqueness is that many of the items were donated by survivors. 
It's not the most comprehensive holocaust museum..."
4,"Points:
* Park in the  Grove, takes about 10 min to get there by walk 
* it's hidden underneath a park
* when you come close to the door and press the..."
4,Decided to check out this museum since it was near the Grove. Your greeted with a locked door. You must either ring the bell or knock' then let in by a...
5,I enjoy coming to the studio because of a class called cardio Carnaval. The teacher Corey is so much fun and makes you feel like you're at a club dancing...
5,"I can personally attest their is no better parkour teacher for kids in LA than Lorenzo! My son has been working with him for 2 years now and his confidence,..."
4,I got here early for Zumba and got to catch some of the capoeira crowd and that class looked really neat. The whole class that was there seemed talented....
3,"I came here for a school club event a couple months ago, and the experience left a bit to be desired.

The first thing I noticed here is that the pricing is..."
4,"Fun and games and a few hours of free parking? Count me in! Unlike Dave and Buster's, XLanes doesn't exclude kids or people under 21 until the evening, so..."
1,This place is awful! Came here on a Saturday night to bowl. They said it was a 1.5 hr wait although there were PLENTY lanes open. We put our name in the...
5,"Another great hiking trail and scenic lookout place in LA.  During the pandemic, many people in LA come here to hike up to the hill top to have a panoramic..."
5,Very easy stroll if you take the winding trail up to the top. You can also take the stairs straight up for a lovely view of LA. Taking the stairs is a nice...
5,As of 5/17/20 (according to trails.lacounty.gov): The Park to Playa trail is open but the actual facility is still closed. The Park to Playa trail is...
5,"The Dorothy Chandler Pavillion,is located in LA's famous world class performing arts and entertainment district along with The Walt Disney Concert..."
5,"I just saw La Boheme here for the first time and I have to say, this venue is breathtakingly beautiful. This was my first time at the Opera and I loved..."
5,"I love coming to the Dorothy Chandler Pavilion. All the people who think LA is all about Hollywood and Rodeo drive, needs to come here and experience the..."
5,"Oh my goodness!  I am shocked that I haven't written a review of this wonderful shop!

I found out about Leanna Lin's Wonderland while following a few..."
5,"This charming shop sells all kinds cheerful, fun and even inspiring items for you, your home and for gifts. Over the years, I've purchased several wonderful..."
5,"this shot has the cutest collection of gifts, greeting cards, jewelry, art and enamel pins. i always come here for clever greeting cards. during covid, you..."
5,This theater is in the heart of downtown LA. Beautiful scenery.  Parking is great.  recommend parking across the street( read sign says theater parking)....
4,"Visited on 2/1/2020 11:32 am

Went to see JOKER. 
Movie was amazing! 
Theater and seating were good. 

I liked the added security measures put in place; as..."
